City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,le vauclin,14.5452,-60.8388,77.0,78,75,10.36,MQ,1620286166
221,lubumbashi,-11.6609,27.4794,68.0,77,0,9.22,CD,1620285914
222,tautira,-17.7333,-149.15,80.6,78,40,3.44,PF,1620286166
223,ilulissat,69.2167,-51.1,28.4,80,75,4.61,GL,1620286166
224,hamilton,39.1834,-84.5333,44.6,100,1,3.15,US,1620286083
225,korla,41.7597,86.1469,83.48,7,2,13.38,CN,1620286167
226,leningradskiy,69.3833,178.4167,24.21,87,24,8.12,RU,1620286167
227,bereda,43.2686,-7.5406,53.01,99,100,5.3,ES,1620286168
228,haines junction,60.7522,-137.5108,39.2,52,100,3.44,CA,1620286168
229,manado,1.487,124.8455,78.8,94,40,3.44,ID,1620286169
230,storforshei,66.4043,14.5233,39.2,35,0,10.36,NO,1620286169
231,ocos,14.5094,-92.1933,66.0,98,100,7.85,GT,1620286169
232,dakoro,14.5106,6.765,92.48,14,12,2.15,NE,1620286170
233,ramanagaram,12.7167,77.3,89.01,48,40,3.44,IN,1620286170
234,dukstas,55.5333,26.3333,44.76,83,100,11.54,LT,1620286171
235,mabaruma,8.2,-59.7833,72.72,98,100,1.95,GY,1620286171
236,san andres,12.5847,-81.7006,80.6,78,20,12.66,CO,1620286171
237,yumen,40.2833,97.2,74.35,5,71,7.18,CN,1620286172
238,asyut,27.181,31.1837,98.04,10,0,3.91,EG,1620286172
239,cherskiy,68.75,161.3,31.48,88,100,3.91,RU,1620286173
240,kabwe,-14.4469,28.4464,67.5,47,6,9.69,ZM,1620286173
241,batesville,35.7698,-91.641,51.8,87,1,4.29,US,1620286174
242,kieta,-6.2167,155.6333,82.26,79,100,4.03,PG,1620286174
243,mizdah,31.4451,12.9801,73.56,28,100,18.75,LY,1620286174
244,matagami,49.7502,-77.6328,30.2,93,90,6.91,CA,1620286175
245,narsaq,60.9167,-46.05,33.8,47,1,4.72,GL,1620286175
246,tepalcatepec,19.1833,-102.85,76.19,42,4,1.63,MX,1620286176
247,sao filipe,14.8961,-24.4956,71.37,78,10,6.53,CV,1620286176
248,rio gallegos,-51.6226,-69.2181,37.4,93,0,9.22,AR,1620286177
249,pombia,45.653,8.6336,59.0,58,0,10.36,IT,1620286177
250,hefei,31.8639,117.2808,77.0,47,0,8.95,CN,1620286177
251,santa cruz,-17.8,-63.1667,53.6,82,75,18.41,BO,1620285938
252,melilla,35.2937,-2.9383,62.6,88,0,3.44,ES,1620286178
253,hofn,64.2539,-15.2082,33.89,55,14,14.97,IS,1620286178
254,gorontalo,0.5412,123.0595,85.06,75,100,3.0,ID,1620286179
255,cabedelo,-6.9811,-34.8339,73.4,100,20,6.91,BR,1620286179
256,lensk,60.7253,114.9278,38.98,97,100,5.06,RU,1620286180
257,saint-pierre,-21.3393,55.4781,77.0,88,0,5.75,RE,1620286180
258,saint marys,30.7305,-81.5465,71.6,94,40,4.05,US,1620286180
259,madang,-5.2246,145.7966,83.79,77,100,9.51,PG,1620286181
260,mapiripan,2.8892,-72.1256,72.01,93,97,1.61,CO,1620286181
261,tomatlan,19.9333,-105.25,67.86,87,0,2.57,MX,1620286181
262,puli,23.9664,120.9695,82.4,69,40,4.61,TW,1620286182
263,cockburn town,21.4612,-71.1419,78.6,73,2,18.86,TC,1620286093
